Nome,Tipo,TRESHOLD,NUM_CENTERS,True_Negative,False_Positive,False_Negative,True_Positive,Recall,Precisao,%PrevistaNegativo,%PrevistaPositiva
RBF,Teste,0.2,40,106,5182,19,1904,0.9901196047841914,0.26869884278859724,0.01733462765219803,0.9826653723478019
RBF,Teste,0.21000000000000002,40,119,5169,23,1900,0.9880395215808633,0.268779176686943,0.019692137012896963,0.980307862987103
RBF,Teste,0.22,40,136,5152,24,1899,0.9875195007800313,0.26932350021273577,0.02218832339481348,0.9778116766051865
RBF,Teste,0.23,40,160,5128,28,1895,0.9854394175767031,0.2698277089562865,0.02607127998890584,0.9739287200110942
RBF,Teste,0.24000000000000002,40,201,5087,38,1885,0.9802392095683827,0.27036718301778545,0.03314380807100264,0.9668561919289974
RBF,Teste,0.25,40,265,5023,45,1878,0.9765990639625585,0.2721344732647442,0.04298987657745112,0.9570101234225489
RBF,Teste,0.26,40,414,4874,64,1859,0.9667186687467498,0.2761027773652161,0.06628761614200528,0.9337123838579947
RBF,Teste,0.27,40,4106,1182,1427,496,0.2579303172126885,0.29558998808104886,0.7672999583968937,0.23270004160310637
RBF,Teste,0.28,40,5161,127,1857,66,0.0343213728549142,0.34196891191709844,0.9732353349050062,0.02676466509499376
RBF,Teste,0.29000000000000004,40,5195,93,1875,48,0.0249609984399376,0.3404255319148936,0.9804465400083207,0.01955345999167938
RBF,Teste,0.3,100,5208,80,1873,50,0.026001040041601663,0.38461538461538464,0.9819719872417141,0.01802801275828595
RBF,Teste,0.3,1000,5255,33,1904,19,0.009880395215808632,0.36538461538461536,0.9927887948966856,0.0072112051033143805
RBF,Teste,0.3,2000,5259,29,1911,12,0.0062402496099844,0.2926829268292683,0.994314242130079,0.005685757869920954
RBF,Teste,0.3,40,5193,95,1883,40,0.02080083203328133,0.2962962962962963,0.9812786021356261,0.018721397864373872
RBF,Teste,0.3,4000,5279,9,1922,1,0.0005200208008320333,0.1,0.9986132297878242,0.0013867702121758425
RBF,Teste,0.3,500,5248,40,1888,35,0.018200728029121163,0.4666666666666667,0.9895992234086812,0.010400776591318819
RBF,Teste,0.30000000000000004,40,5212,76,1880,43,0.02236089443577743,0.36134453781512604,0.9834974344751075,0.016502565524892526
RBF,Teste,0.31,40,5222,66,1888,35,0.018200728029121163,0.3465346534653465,0.985993620857024,0.014006379142976009
RBF,Teste,0.32,40,5241,47,1892,31,0.01612064482579303,0.3974358974358974,0.9891831923450284,0.010816807654971571
RBF,Teste,0.33,40,5249,39,1896,27,0.014040561622464899,0.4090909090909091,0.9908473165996394,0.00915268340036056
RBF,Teste,0.34,40,5256,32,1899,24,0.0124804992199688,0.42857142857142855,0.9922340868118152,0.007765913188184718
RBF,Teste,0.35,40,5256,32,1903,20,0.010400416016640665,0.38461538461538464,0.9927887948966856,0.0072112051033143805
RBF,Teste,0.36,40,5262,26,1904,19,0.009880395215808632,0.4222222222222222,0.9937595340452087,0.006240465954791291
RBF,Teste,0.37,40,5262,26,1905,18,0.0093603744149766,0.4090909090909091,0.9938982110664263,0.0061017889335737065
RBF,Teste,0.38,40,5264,24,1908,15,0.0078003120124804995,0.38461538461538464,0.9945915961725142,0.005408403827485786
RBF,Teste,0.39,40,5266,22,1909,14,0.007280291211648466,0.3888888888888889,0.995007627236167,0.0049923727638330325
RBF,Teste,0.4,40,5268,20,1910,13,0.006760270410816433,0.3939393939393939,0.9954236582998197,0.00457634170018028
RBF,Treino,0.2,40,1198,46394,86,17221,0.995030912347605,0.2707065943566769,0.019784588360375353,0.9802154116396247
RBF,Treino,0.21000000000000002,40,1336,46256,103,17204,0.9940486508349223,0.2710999054522534,0.022172914836900415,0.9778270851630996
RBF,Treino,0.22,40,1554,46038,129,17178,0.9925463685214075,0.2717350037965072,0.025932602967688255,0.9740673970323117
RBF,Treino,0.23,40,1828,45764,168,17139,0.9902929450511354,0.27246713193329414,0.030755481594477573,0.9692445184055224
RBF,Treino,0.24000000000000002,40,2222,45370,227,17080,0.9868839198012365,0.2734987990392314,0.03773555832909598,0.962264441670904
RBF,Treino,0.25,40,2888,44704,330,16977,0.9809325706361588,0.2752387282955854,0.0495847393642429,0.9504152606357571
RBF,Treino,0.26,40,4328,43264,582,16725,0.9663719882128619,0.2788011135374819,0.07565601935314874,0.9243439806468513
RBF,Treino,0.27,40,37103,10489,12421,4886,0.28231351476281275,0.31778861788617885,0.7630934220866269,0.23690657791337308
RBF,Treino,0.28,40,46409,1183,16457,850,0.04911307563413648,0.4181013280865716,0.968674401762739,0.03132559823726098
RBF,Treino,0.29000000000000004,40,46787,805,16678,629,0.03634367596926099,0.4386331938633194,0.9779041279526649,0.02209587204733509
RBF,Treino,0.3,100,20739,413,7232,460,0.059802392095683825,0.5269186712485682,0.9697337401192623,0.03026625988073776
RBF,Treino,0.3,1000,20592,560,6339,1353,0.17589703588143527,0.7072660742289597,0.9336777146026903,0.06632228539730967
RBF,Treino,0.3,2000,20671,481,6490,1202,0.156266250650026,0.7142008318478906,0.9416516433227015,0.05834835667729857
RBF,Treino,0.3,40,20823,329,7424,268,0.034841393655746226,0.4489112227805695,0.9793024545832756,0.020697545416724448
RBF,Treino,0.3,4000,20854,298,7271,421,0.0547321892875715,0.5855354659248957,0.9750728054361393,0.024927194563860767
RBF,Treino,0.3,500,20661,491,6714,978,0.12714508580343215,0.6657590197413207,0.9490708639578422,0.05092913604215781
RBF,Treino,0.30000000000000004,40,46975,617,16769,538,0.03108568787195932,0.4658008658008658,0.9822031156104101,0.017796884389589977
RBF,Treino,0.31,40,47104,488,16844,463,0.026752181198359044,0.4868559411146162,0.9853464614246753,0.014653538575324735
RBF,Treino,0.32,40,47180,412,16899,408,0.023574276304385508,0.4975609756097561,0.9873649825112868,0.012635017488713231
RBF,Treino,0.33,40,47248,344,16934,373,0.021551973190038713,0.5202231520223152,0.9889520639763325,0.011047936023667545
RBF,Treino,0.34,40,47305,287,16960,347,0.02004969087652395,0.5473186119873817,0.9902309742831168,0.009769025716883158
RBF,Treino,0.35,40,47339,253,16990,317,0.01831628820708384,0.5561403508771929,0.991217121989553,0.008782878010447002
RBF,Treino,0.36,40,47370,222,17013,294,0.016987346160513086,0.5697674418604651,0.9920491841168585,0.007950815883141497
RBF,Treino,0.37,40,47398,194,17031,276,0.01594730455884902,0.5872340425531914,0.9927579777808595,0.00724202221914051
RBF,Treino,0.38,40,47416,176,17047,260,0.015022823135147629,0.5963302752293578,0.9932818687499037,0.0067181312500963035
RBF,Treino,0.39,40,47441,151,17068,239,0.013809441266539551,0.6128205128205129,0.9939906624139047,0.006009337586095317
RBF,Treino,0.4,40,47454,138,17082,225,0.013000520020800831,0.6198347107438017,0.9944066934775574,0.005593306522442564
